head,tail,label
DB00361,O60218,0
DB06963,Q9Y691,0
DB02705,P00749,1
DB00759,P11274,0
DB01221,P41595,1
DB03948,P12268,1
DB01106,Q05932,0
DB01115,O95180,1
DB02621,P68133,1
DB08527,P28062,0
DB03791,O43252,0
DB03882,Q13427,0
DB04654,P49789,0
DB02822,O15264,0
DB00336,P47989,1
DB07497,P10646,0
DB00368,P18825,1
DB00217,P48048,1
DB02730,P19961,1
DB03152,Q13547,0
DB00206,P20815,1
DB02457,Q15761,0
DB00543,P25100,1
DB07369,P11274,0
DB01407,P01138,1
DB01151,P08684,1
DB04643,P43405,0
DB03962,P52209,1
DB00468,P04798,1
DB08463,Q99720,0
DB00679,P11712,1
DB04194,P06858,0
DB01483,P42262,1
DB04828,Q9Y5Y4,1
DB00786,Q9ULZ9,1
DB07833,Q16539,1
DB04338,P04150,0
DB06637,Q92953,1
DB00368,O43614,0
DB07589,P00441,0
DB07217,P62491,0
DB00446,P10632,1
DB00759,Q9HB40,0
DB07778,Q9UDW1,1
DB00947,P08684,1
DB06413,Q01959,1
DB01122,P54284,0
DB00434,P28335,1
DB00297,P13726,0
DB01028,P18507,1
DB07940,P09884,0
DB00201,P24462,1
DB00786,Q8N119,1
DB02098,P07998,1
DB06287,P10635,1
DB00886,P08473,1
DB01107,P35626,0
DB00801,P18507,1
DB00553,Q9NR97,0
DB08156,P14679,0
DB00255,O75891,0
DB00778,P08684,1
DB01219,P53611,0
DB01248,P10415,1
DB04794,P33261,1
DB00342,P08684,1
DB00242,P09884,1
DB00191,P10635,1
DB00927,P33261,1
DB00675,P33261,1
DB06616,P08684,1
DB02288,Q9H2S1,0
DB00945,P33261,1
DB07981,P20645,0
DB09073,Q9NPA1,0
DB00584,Q04771,0
DB00540,Q99720,1
DB03615,P32418,0
DB05713,P45381,0
DB01567,O14764,1
DB01019,Q05940,0
DB04417,P22301,0
DB07441,P05113,0
DB04602,O43526,0
DB08771,P28845,1
DB06414,P08684,1
DB00151,P35520,1
DB02610,P00918,1
DB07264,Q8TE23,0
DB06795,P02792,0
DB07061,P49591,0
DB00661,O00305,1
DB07117,P14780,1
DB07873,P15954,0
DB00399,O95749,1
DB00346,P25100,1
DB01110,P20813,1
DB07397,P06730,0
DB00591,Q13564,0
DB01776,P11678,0
DB00586,P35499,1
DB03444,O95263,0
DB03176,P62829,0
DB03702,Q9UNI1,1
DB04633,P22301,0
DB00599,P08684,1
DB07209,P37231,1
DB00246,P28221,1
DB01695,P10915,0
DB01151,P20813,1
DB03896,P10398,0
DB04725,P35354,1
DB07213,Q9HAW8,0
DB03008,P25021,0
DB02751,Q14353,1
DB08182,P20248,1
DB04072,Q9ULW8,0
DB01118,P11712,1
DB02473,P00749,1
DB05095,P35354,1
DB07500,O00180,0
DB07181,P27487,1
DB00907,P10632,1
DB04722,Q9ULW8,0
DB00159,P35354,1
DB05470,Q16696,0
DB02325,P30041,1
DB07070,O94903,0
DB04657,Q8TDV5,0
DB01567,P28472,1
DB03061,P13569,0
DB01378,P49368,0
DB08816,P08684,1
DB02872,Q00987,1
DB08453,O14949,1
DB06995,P08581,1
DB00797,P18089,1
DB07530,P20594,0
DB02821,P04150,0
DB07993,P25103,0
DB08148,P18507,0
DB01710,P02792,0
DB08453,P31930,1
DB01435,P33261,1
DB02643,Q9Y666,0
DB08899,P10635,1
DB00477,P35348,1
DB04618,P04746,1
DB02342,P04798,1
DB03744,P20248,0
DB00745,P20815,1
DB00514,Q99720,1
DB00807,Q9Y5Y9,1
DB03468,P30049,0
DB08156,P00918,1
DB02080,Q9NY46,0
DB06413,P08684,1
DB04392,Q9UJ70,0
DB01016,P08684,1
DB00292,O14764,1
DB04505,P51787,0
DB00496,Q9H239,0
DB04855,P35348,1
DB00880,P00918,1
DB02325,P21554,0
DB07156,P08069,1
DB02822,P07360,0
DB04258,P00533,0
DB00951,P11021,0
DB01215,P22748,0
DB08292,P20618,0
DB08168,Q9BY41,1
DB08352,P09104,0
DB02720,P11217,1
DB00718,P14324,0
DB00549,P10635,1
DB07500,P22314,0
DB01752,O14717,1
DB05134,Q9H252,0
DB00122,P22303,1
DB07629,P15259,0
DB00669,P28222,1
DB01611,Q9NR96,1
DB01892,P42263,0
DB00151,P17405,0
DB02671,O15067,0
DB03886,P00374,1
DB00986,P20339,0
DB00674,P30532,1
DB01081,P41143,1
DB07618,Q9GZT9,0
DB08184,P47898,0
DB04521,P29275,0
DB06909,Q8WWL2,0
DB07437,Q96DP5,0
DB04009,P36871,0
DB07315,P06737,1
DB01215,P28476,1
DB00514,P08684,1
DB08868,P08684,1
DB00130,Q6IA69,1
DB00425,P08684,1
DB01399,O60669,0
DB00608,P35557,0
DB02218,Q7L3T8,0
DB07641,P21397,1
DB01131,Q06278,0
DB08395,O95167,0
DB00717,P23467,0
DB03981,Q6NUM9,0
DB01220,P08684,1
DB00553,P04798,1
DB07321,Q9Y6F1,0
DB00559,P08684,1
DB00250,P35354,1
DB03757,Q9UNI1,1
DB04954,P30542,1
DB01812,Q9Y663,1
DB07954,O60658,1
DB01409,P11229,1
DB00723,P11233,0
DB00396,P04632,0
DB07071,P20618,0
DB02986,P00918,1
DB04178,P61587,0
DB00496,P45381,0
DB03664,P30085,1
DB00514,P41145,1
DB02445,Q14416,0
DB00159,P37231,1
DB06274,Q9UJT0,0
DB06757,Q7Z2Z2,0
DB04089,P00918,1
DB02701,Q10588,1
DB04763,P00918,1
DB03227,Q8NER1,0
DB06712,P11712,1
DB00425,P11712,1
DB07545,P53778,0
DB00464,Q9Y646,0
DB00449,P22303,1
DB00425,P12532,0
DB00250,P25705,0
DB00270,P08684,1
DB01034,P19835,0
DB03195,Q92947,0
DB06939,Q16762,0
DB07731,P24941,1
DB00364,P46059,0
DB04775,P22695,0
DB08201,O14939,0
DB01595,P18507,1
DB03722,P49589,0
DB07666,P28472,0
DB00482,P08684,1
DB01241,P10632,1
DB04948,O95881,0
DB00313,Q14524,1
DB00996,Q05586,1
DB00945,P51812,1
DB00564,Q14524,1
DB00213,P33261,1
DB09082,Q96I15,0
DB00424,P08173,1
DB00224,P10635,1
DB00446,P08174,1
DB06861,P05771,0
DB03443,P19622,0
DB01065,P04798,1
DB05395,O60911,0
DB08374,Q96I59,0
DB03125,P00374,1
DB07608,Q8IVL6,0
