head,tail,label
DB08533,P49862,0.0
DB00755,P48443,1.0
DB00361,O60218,0.0
DB01136,P08588,1.0
DB06963,Q9Y691,0.0
DB02705,P00749,1.0
DB01234,Q96S86,0.0
DB00513,P63098,0.0
DB00228,P48169,1.0
DB00759,P11274,0.0
DB01221,P41595,1.0
DB07397,P22894,1.0
DB00268,P41231,0.0
DB01023,Q01668,1.0
DB00170,P05177,1.0
DB00217,Q86YB8,0.0
DB02784,P06744,0.0
DB03948,P12268,1.0
DB00389,P11511,1.0
DB04525,P09211,0.0
DB08601,P02741,0.0
DB01106,Q05932,0.0
DB08516,P49789,0.0
DB01115,O95180,1.0
DB06941,P04271,1.0
DB07458,P49448,0.0
DB08677,Q9NWZ5,0.0
DB08936,P35367,1.0
DB07909,Q9BXI2,0.0
DB00946,P11712,1.0
DB07746,Q8NFA2,0.0
DB03104,Q9Y345,0.0
DB01186,P35462,1.0
DB06926,Q6WRI0,0.0
DB04695,P22459,0.0
DB00321,Q09470,1.0
DB07561,Q02127,1.0
DB00599,P31644,1.0
DB02621,P68133,1.0
DB08527,P28062,0.0
DB03791,O43252,0.0
DB03711,Q8WX39,1.0
DB07982,P46459,0.0
DB03882,Q13427,0.0
DB01355,P05177,1.0
DB00608,P30273,0.0
DB03491,O43776,0.0
DB04654,P49789,0.0
DB04151,Q6PI48,0.0
DB00458,P05177,1.0
DB02822,O15264,0.0
DB00336,P47989,1.0
DB00171,P10398,1.0
DB07497,P10646,0.0
DB09291,O15382,0.0
DB00368,P18825,1.0
DB06973,P30711,0.0
DB00217,P48048,1.0
DB06144,P50406,1.0
DB07313,P23921,0.0
DB07779,P40926,0.0
DB02730,P19961,1.0
DB04841,P35367,1.0
DB04763,Q13509,0.0
DB00227,P33261,1.0
DB03152,Q13547,0.0
DB00157,P00325,1.0
DB02987,Q12809,0.0
DB01959,Q08499,1.0
DB04657,Q9Y697,0.0
DB06983,O94760,0.0
DB00206,P20815,1.0
DB00149,P54687,1.0
DB01142,P25100,1.0
DB00635,Q9Y4U1,0.0
DB02457,Q15761,0.0
DB00543,P25100,1.0
DB00668,P11712,1.0
DB00461,P23219,1.0
DB01223,P0DMS8,1.0
DB07369,P11274,0.0
DB01011,P05181,1.0
DB07584,P28838,0.0
DB01407,P01138,1.0
DB01151,P08684,1.0
DB05234,Q96EN8,0.0
DB06212,Q96GA7,0.0
DB08285,P20248,1.0
DB07677,O60895,0.0
DB04301,Q9GZT9,0.0
DB04643,P43405,0.0
DB00420,P35368,1.0
DB01961,P14927,0.0
DB03962,P52209,1.0
DB00468,P04798,1.0
DB08463,Q99720,0.0
DB01100,P33261,1.0
DB00679,P11712,1.0
DB04194,P06858,0.0
DB01483,P42262,1.0
DB01022,Q9BYF1,0.0
DB00412,P37231,1.0
DB00738,P05177,1.0
DB01717,Q9BXI2,0.0
DB01236,P18847,0.0
DB01238,P24462,1.0
DB00863,P25021,1.0
DB04828,Q9Y5Y4,1.0
DB06637,P32927,0.0
DB04434,Q92696,0.0
DB00786,Q9ULZ9,1.0
DB07833,Q16539,1.0
DB02552,Q9NQS7,0.0
DB00167,O15382,1.0
DB01861,P43681,0.0
DB04338,P04150,0.0
DB00275,P30556,1.0
DB01355,P23219,1.0
DB06637,Q92953,1.0
DB01236,P20813,1.0
DB00368,O43614,0.0
DB07589,P00441,0.0
DB07217,P62491,0.0
DB08058,O43612,0.0
DB04311,P07477,1.0
DB05171,Q9NZ42,1.0
DB01382,P00156,0.0
DB00170,P00742,1.0
DB06979,Q9UJM8,1.0
DB00454,P23975,1.0
DB00607,P08684,1.0
DB00612,O95363,0.0
DB00446,P10632,1.0
DB00759,Q9HB40,0.0
DB01184,P15538,0.0
DB05109,Q13838,0.0
DB04881,P08183,1.0
DB07778,Q9UDW1,1.0
DB01342,Q96GW9,0.0
DB04908,P28223,1.0
DB06896,P14854,0.0
DB01620,P60900,0.0
DB06589,P17948,1.0
DB01091,Q13627,0.0
DB05087,P14867,1.0
DB00947,P08684,1.0
DB06413,Q01959,1.0
DB08167,P22303,1.0
DB01115,P05177,1.0
DB00408,P25021,1.0
DB00734,Q15800,0.0
DB04253,O43708,0.0
DB01122,P54284,0.0
DB03504,P60900,0.0
DB00434,P28335,1.0
DB00297,P13726,0.0
DB01028,P18507,1.0
DB07940,P09884,0.0
DB04094,P62942,1.0
DB00201,P24462,1.0
DB09143,Q99835,1.0
DB00786,Q8N119,1.0
DB00306,P48169,1.0
DB01023,Q01064,1.0
DB02098,P07998,1.0
DB00748,P20813,1.0
DB07772,Q00987,0.0
DB08429,Q15067,0.0
DB01142,P08913,1.0
DB01170,P08684,1.0
DB06287,P10635,1.0
DB07522,P00734,1.0
DB08479,P0CG04,0.0
DB03159,P00734,1.0
DB06849,P10515,0.0
DB00886,P08473,1.0
DB01107,P35626,0.0
DB00801,P18507,1.0
DB00553,Q9NR97,0.0
DB08156,P14679,0.0
DB00255,O75891,0.0
DB01238,P35367,1.0
DB05255,P14625,0.0
DB00778,P08684,1.0
DB06077,Q9H598,0.0
DB07677,O60547,0.0
DB02633,Q9H239,0.0
DB03294,P04083,0.0
DB01219,P53611,0.0
DB05018,P06280,1.0
DB05864,P50579,1.0
DB08019,Q6IA69,0.0
DB01248,P10415,1.0
DB04794,P33261,1.0
DB00342,P08684,1.0
DB00139,Q8IVL5,1.0
DB00459,P28702,1.0
DB00242,P09884,1.0
DB00794,P20813,1.0
DB07377,P50579,1.0
DB03661,P18031,1.0
DB00191,P10635,1.0
DB04701,Q86VB7,0.0
DB00927,P33261,1.0
DB07027,Q92830,0.0
DB00675,P33261,1.0
DB06616,P08684,1.0
DB04020,O75521,0.0
DB00381,P17405,1.0
